name,crunchbase_uuid,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
Go-apartments,2eea0d2c-57e1-e9d3-f629-06eb533e48b9,organization,company,https://www.crunchbase.com/organization/go-apartments?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,go-apartments.com,http://www.go-apartments.com,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",http://www.facebook.com/goapartments,http://twitter.com/Goapartments,,:,Berlin,Berlin,DEU,Search engine for flats in Germany
greatcontent.com,13d36aaf-812f-5db6-4572-d80ef10a48cc,organization,company,https://www.crunchbase.com/organization/greatcontent-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,greatcontent.com,http://www.greatcontent.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1435006586/u2pulwlb8yzha6kmdapd.jpg",http://www.facebook.com/greatcontent,,,:,Berlin,Berlin,DEU,Curated crowd sourcing tool for creative text creation - supermarket for great text content
Scopis GmbH,3d7c6d14-6a75-c4b5-85f4-bae247858fce,organization,company,https://www.crunchbase.com/organization/scopis?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,scopis.com,http://www.scopis.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397186993/43613dab29d7ead1d97a382d176cf26f.png",http://www.facebook.com/pages/Scopis-Surgical-Navigation/4305144,http://twitter.com/scopismedical,http://www.linkedin.com/company/scopis-gmbh,:,Berlin,Berlin,DEU,Scopis manufactures surgical navigation systems with a focus on endoscopic Augmented Reality.
mgadget.net,c0957ef8-09c0-a7a7-dcbf-7ff81b27d164,organization,company,https://www.crunchbase.com/organization/mgadget?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mgadget.net,http://www.mgadget.net,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397751347/75886056554d0963b67306c895ad7ab1.png",,https://www.twitter.com/_mgadget,,:,Berlin,Berlin,DEU,"mgadget is an online platform that offers a range of electronic gadgets such as iPhone, iPad, photo, video, and audio accessories."
Online Business Development,8be8fba6-c4fe-58ad-3f72-e7e2656a09b6,organization,company,https://www.crunchbase.com/organization/online-business-development?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,online-business-development.com,http://www.online-business-development.com,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,:,Berlin,Berlin,DEU,Online-Business-Development provides internet marketing and other basic tools for your industries internet needs.
Mobile Event Guide,0b369dc2-1848-6c57-21ab-2aa6fcbf3b08,organization,company,https://www.crunchbase.com/organization/mobile-event-guide?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mobileeventguide.de,http://mobileeventguide.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397187524/13f3db5ad39e363c43f59db9db28e595.png",http://www.facebook.com/MobileEventGuide,http://twitter.com/mobileventguide,http://www.linkedin.com/company/mobile-event-guide,:,Berlin,Berlin,DEU,"Mobile Event Guide develops and markets wireless solutions for events, congresses, trade fairs, and more."
HowDo,a9b6bc58-25a5-ecc3-a3c4-fae4ec11baf5,organization,company,https://www.crunchbase.com/organization/howdo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,how.do,http://www.how.do,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397188162/fd7338e2cadc7580a87569ed6b93d938.jpg",http://www.facebook.com/HowDo,http://twitter.com/HowDo,,:,Berlin,Berlin,DEU,HowDo is a sound and picture chapter to capture and share DIY skills.
colored.by,90de0d07-3fe5-3299-146f-4df2bb1f903f,organization,company,https://www.crunchbase.com/organization/colored-by?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,colored.by,http://colored.by,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397188383/83aa0d5a9aea3ec1f368ed3701e57be6.jpg",,http://twitter.com/colored_by,,:,Berlin,Berlin,DEU,"colored.by is an online service that enables its users to show their favorite color, helping other users know what to give as a gift."
SmartExposee,d70d867d-b340-e7c6-529f-c8c451c62967,organization,company,https://www.crunchbase.com/organization/smartexposee?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,smartexpose.com,http://www.smartexpose.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397188427/d1846bf5be7707ae1a4331e05269ccfe.png",http://www.facebook.com/smartexpose.apps,https://www.twitter.com/smartexpose,https://www.linkedin.com/company/5005603,:,Berlin,Berlin,DEU,"SmartExposee is real estate software for retailers, real estate developers, and others to create personalized apps for advertising purposes."
Jim Fish,cbf2e367-c12b-25bd-35cc-18b93c171654,organization,company,https://www.crunchbase.com/organization/jim-fish?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,jimfish.de,http://jimfish.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397188745/6b0778a16fb4c5486bd88a02f6732d5f.png",http://www.facebook.com/jimfish.de,http://twitter.com/JimFishDE,,:,Berlin,Berlin,DEU,Online Angelshop
